ItemGroup,Item,Site,Item_location,Family_Code,Week,Year,Week_Year,Demand,Prod_Start,POs,R_Create_Date,Receipts,Inventory_PO,Inventory_R,Demand_I,Demand_R,Demand_RI,Inventory_D,Inventory,Transfer_In,Transfer_Out,SS_Weeks,WOS,Sim_Inv,Sim_WOS,VendorId,Week_Date
FBGB,20061751061,3010,20061751061_3010,900BR,11,2024,11_2024,3,0,0,null,0,-1,0,0,0,0,0,-1,0,0,7,-0.33,-1,-0.33,20008777,3/17/2024
FBGB,20061751065,3000,20061751065_3000,900BR,11,2024,11_2024,19,0,0,null,0,-52,0,0,0,0,0,-52,0,0,7,-3.06,-32,-1.88,20008777,3/17/2024
FBGB,20061751065,3010,20061751065_3010,900BR,11,2024,11_2024,15,0,0,10/27/2023,21,76,0,0,0,0,0,76,0,0,7,5.69,97,7.26,20008777,3/17/2024
FBGB,20061751033,3000,20061751033_3000,900BR,11,2024,11_2024,5,0,0,null,0,18,0,0,0,0,0,18,0,0,7,3.6,18,3.6,20008777,3/17/2024
FBGB,20061751052,3000,20061751052_3000,900BR,11,2024,11_2024,15,0,0,null,0,-20,0,0,0,0,0,-20,0,0,7,-1.46,2,0.15,20008777,3/17/2024
FBGB,20061751061,3200,20061751061_3200,900BR,12,2024,12_2024,6,0,0,11/10/2023,3,-7,0,0,0,0,0,-7,0,0,7,-1.24,-7,-1.24,20008777,3/24/2024
FBGB,20061751001,3220,20061751001_3220,900BR,12,2024,12_2024,1,0,0,null,0,1,0,0,0,0,0,1,0,0,7,1,3,3,20008777,3/24/2024
FBGB,20061751033,3220,20061751033_3220,900BR,12,2024,12_2024,4,0,0,null,0,-5,0,0,0,0,0,-5,0,0,7,-1.25,-5,-1.25,20008777,3/24/2024
FBGB,20061751052,3210,20061751052_3210,900BR,12,2024,12_2024,13,0,0,11/10/2023,40,12,0,0,0,0,0,12,0,0,7,1,52,4.33,20008777,3/24/2024
FBGB,20061751001,3210,20061751001_3210,900BR,12,2024,12_2024,1,0,0,null,0,-3,0,0,0,0,0,-3,0,0,7,-3,-3,-3,20008777,3/24/2024
FBGB,20061751053,3000,20061751053_3000,900BR,12,2024,12_2024,18,0,0,null,0,-37,0,0,0,0,0,-37,0,0,7,-2.22,-11,-0.66,20008777,3/24/2024
FBGB,20061751053,3010,20061751053_3010,900BR,12,2024,12_2024,13,0,0,null,0,-28,0,0,0,0,0,-28,0,0,7,-2.35,-28,-2.35,20008777,3/24/2024
FBGB,20061751065,3200,20061751065_3200,900BR,12,2024,12_2024,10,0,0,11/10/2023,13,-22,0,0,0,0,0,-22,0,0,7,-2.44,-9,-1,20008777,3/24/2024
FBGB,20061751002,3200,20061751002_3200,900BR,12,2024,12_2024,1,0,0,null,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20008777,3/24/2024
FBGB,20061751033,3210,20061751033_3210,900BR,12,2024,12_2024,4,0,0,11/10/2023,4,-15,0,0,0,0,0,-15,0,0,7,-3.75,-11,-2.75,20008777,3/24/2024
